# COLUMNS.txt
#
# This comma-separated data file maps columns from this dataset to
# standardized column names in the main database. Entries below include:
# 	Database: name of the standardized database column
#	Dataset: name of the column in this dataset
#	Computation: optional R-parseable computation to change units, etc.
#	Notes: optional; generally to explain the computation
#
# Examples:
#
# Database,	Dataset,	Computation,					Notes
# CSR_T5	V1,
# CSR_FLUX_CO2, Flux, 		Flux / 12 * 10^6 / 24/60/60, 	gC/day to µmol/s - all ports
# CSR_PAR,  V5, 		V5 / 1000, 						µmol to mmol - port 1 only
# CSR_TIMESTAMP_BEGIN,	Timestamp
# CSR_TIMESTAMP_MID,	Timestamp
# CSR_TIMESTAMP_END,	Timestamp
#
Database,		Dataset,	Computation,				Notes
CSR_DRY_CO2,		Cdry,
CSR_COMMENTS,	Comments,
CSR_ERROR,		Error,
CSR_FLUX_CO2,  		Flux,
CSR_LABEL,		Label,
CSR_PORT,		Port,
CSR_R2_CO2,			R2,
CSR_RECORD,		Record,
CSR_RH,			RH,
CSR_SM5,		V4
CSR_T5,			V3
CSR_TAIR,	Tcham
CSR_TIMESTAMP_BEGIN,	Timestamp
