# PORTS.txt
#
# This comma-separated data file provides information about multiplexer ports
# and what conditions they represent. Entries below include: 
#
# 	Port: Port number, numeric; "0" means all ports
# 	Treatment: "None" or experimental manipulation
# 	Species: optional field describing species measured
#	Area: optional chamber area, cm2
#
# Examples:
# Port,	Treatment,		Species
# 1,	None,			"Liriodendron tulipifera, Acer rubrum"
# 2,	Heated,			Sphagnum fuscum
#
Port,	Treatment,		Area,	Depth,	Species
1,		Root exclusion,	314,	,		"Artemisia californica, Eriogonum fasciculatum, Salvia mellifera"
2,		None,			314,	,		"Artemisia californica, Eriogonum fasciculatum, Salvia mellifera"
3,		Root exclusion,	314,	,		"Bromus madritensis var. rubens, Centaurea solstitialis, Hirschfeldia incana"
4,		None,			314,	,		"Bromus madritensis var. rubens, Centaurea solstitialis, Hirschfeldia incana"
5,		Root exclusion,	314,	,		"Artemisia californica, Eriogonum fasciculatum, Salvia mellifera"
6,		None,			314,	,		"Artemisia californica, Eriogonum fasciculatum, Salvia mellifera"
7,		Root exclusion,	314,	,		"Bromus madritensis var. rubens, Centaurea solstitialis, Hirschfeldia incana"
8,		None,			314,	,		"Bromus madritensis var. rubens, Centaurea solstitialis, Hirschfeldia incana"
9,		Root exclusion,	314,	,		"Artemisia californica, Eriogonum fasciculatum, Salvia mellifera"
10,		None,			314,	,		"Artemisia californica, Eriogonum fasciculatum, Salvia mellifera"
11,		Root exclusion,	314,	,		"Bromus madritensis var. rubens, Centaurea solstitialis, Hirschfeldia incana"
12,		None,			314,	,		"Bromus madritensis var. rubens, Centaurea solstitialis, Hirschfeldia incana"
13,		Root exclusion,	314,	,		"Bromus madritensis var. rubens, Centaurea solstitialis, Hirschfeldia incana"
14,		None,			314,	,		"Bromus madritensis var. rubens, Centaurea solstitialis, Hirschfeldia incana"
15,		Root exclusion,	314,	,		"Artemisia californica, Eriogonum fasciculatum, Salvia mellifera"
16,		None,			314,	,		"Artemisia californica, Eriogonum fasciculatum, Salvia mellifera"
