# COLUMNS.txt
#
# This comma-separated data file maps columns from this dataset to 
# standardized column names in the main database. Entries below include:
# 	Database: name of the standardized database column
#	Dataset: name of the column in this dataset
#	Computation: optional R-parseable computation to change units, etc.
#	Notes: optional; generally to explain the computation
#
# Examples:
#
# Database,	Dataset,	Computation,					Notes
# CSR_T5	V1,
# CSR_FLUX, Flux, 		Flux / 12 * 10^6 / 24/60/60, 	gC/day to µmol/s - all ports
# CSR_PAR,  V5, 		V5 / 1000, 						µmol to mmol - port 1 only
#
Database,		Dataset,	Computation,				Notes
CSR_CDRY,		Cdry,
CSR_COMMENTS,	Comments,
CSR_FLUX,  		Flux,
CSR_LABEL,		Label,
CSR_PORT,		Port,
CSR_R2,			R2,
CSR_RH,			RH,
CSR_SM5,		SMoist
CSR_T5,			T5
CSR_TCHAMBER,	Tcham
CSR_TIMESTAMP,	Timestamp
