# PORTS.txt
#
# This comma-separated data file provides information about multiplexer ports
# and what conditions they represent. Entries below include: 
#
# 	CSR_PORT: CSR_PORT number, numeric; "0" means all ports
# 	CSR_TREATMENT: "None" or experimental manipulation
#	CSR_AREA: optional chamber area, cm2
#	CSR_DEPTH: optional collar insertion depth, cm
# 	CSR_SPECIES: optional field describing species measured
#
CSR_PORT,	CSR_TREATMENT,	CSR_AREA,	CSR_DEPTH,	CSR_SPECIES
2,			None,			491,		,			"Picea rubens, Tsuga canadensis"
4,			None,			491,		,			"Picea rubens, Tsuga canadensis"
6,			None,			491,		,			"Picea rubens, Tsuga canadensis"
7,			None,			491,		,			"Picea rubens, Tsuga canadensis"
8,			None,			491,		,			"Picea rubens, Tsuga canadensis"
9,			None,			491,		,			"Picea rubens, Tsuga canadensis"
13,			None,			491,		,			"Picea rubens, Tsuga canadensis"
14,			None,			491,		,			"Picea rubens, Tsuga canadensis"
17,			None,			491,		,			"Picea rubens, Tsuga canadensis"
18,			None,			491,		,			"Picea rubens, Tsuga canadensis"
19,			None,			491,		,			"Picea rubens, Tsuga canadensis"
20,			Trenched,		491,		,			"Picea rubens, Tsuga canadensis"
21,			Trenched,		491,		,			"Picea rubens, Tsuga canadensis"
22,			Trenched,		491,		,			"Picea rubens, Tsuga canadensis"
23,			None,			491,		,			"Picea rubens, Tsuga canadensis"
