# ANCILLARY.txt
#
# This optional comma-separated data file provides information about ancillary
# site-level measurements. Entries below are all optional and include: 
# 	LAI: leaf area index (m2/m2)
# 	NPP: total NPP (gC/m2/yr)
# 	ANPP: aboveground NPP (gC/m2/yr)
# 	BNPP: belowground NPP (gC/m2/yr)
# 	AGE: age since disturbance (years)
# 	BD: soil bulk density (g cm−3)
# 	STC: total soil carbon (%)
# 	STN: total soil nitrogen (%)
#	MAP: mean annual precipitation (mm)
#	MAT: mean annual temperature (C)
# 	NH4: ammonium (mg kg−1 soil)
# 	NO3: nitrate (mg kg−1 soil)
# 	PH
# 	Sand (%)
# 	Silt (%)
# 	Clay (%)
# ... others can be added as needed
#
Variable,	Value
CSR_GPP,	2044
CSR_ER,		1555
CSR_NEE,	-490
CSR_MAT,	17.6
CSR_MAP,	2604
CSR_SOIL_CN,19.0
CSR_SOIL_PH,5.9
CSR_AGE,	55
CSR_SOC,	9.92	
CSR_BA,		38.3
