# ANCILLARY.txt
#
# This optional comma-separated data file provides information about ancillary
# site-level measurements. Entries below are all optional and include: 
# 	LAI: leaf area index (m2/m2)
# 	NPP: total NPP (gC/m2/yr)
# 	ANPP: aboveground NPP (gC/m2/yr)
# 	BNPP: belowground NPP (gC/m2/yr)
# 	AGE: age since disturbance (years)
# 	BD: soil bulk density (g cm−3)
# 	STC: total soil carbon (%)
# 	STN: total soil nitrogen (%)
# 	NH4: ammonium (mg kg−1 soil)
# 	NO3: nitrate (mg kg−1 soil)
# 	PH
# 	Sand (%)
# 	Silt (%)
# 	Clay (%)
# ... others can be added as needed
#
# From Table 1 in main paper
Variable,	Value
CSR_MAT,	9.9
CSR_MAP,	857
CSR_AGE,	25
CSR_BD,		0.83
CSR_STC,	4.22
CSR_STN,	0.27
CSR_NH4,	6.51
CSR_NO3,	2.51
CSR_PH,		3.9
CSR_SAND,	9
CSR_SILT,	38
CSR_CLAY,	53
