# PORTS.txt
#
# This comma-separated data file provides information about multiplexer ports
# and what conditions they represent. Entries below include: 
#
# 	CSR_PORT: CSR_PORT number, numeric; "0" means all ports
#	CSR_MSMT_VAR: measurement variable: "Rs", "Rh", or "NEE"
# 	CSR_TREATMENT: "None" or experimental manipulation
#	CSR_AREA: optional chamber area, cm2
#	CSR_DEPTH: optional collar insertion depth, cm
# 	CSR_SPECIES: optional field describing species measured
#
CSR_PORT,	CSR_MSMT_VAR,	CSR_TREATMENT,	CSR_AREA,	CSR_DEPTH,	CSR_SPECIES
2,			Rs,				None,			491,		,			"Picea rubens, Tsuga canadensis"
4,			Rs,				None,			491,		,			"Picea rubens, Tsuga canadensis"
6,			Rs,				None,			491,		,			"Picea rubens, Tsuga canadensis"
7,			Rs,				None,			491,		,			"Picea rubens, Tsuga canadensis"
8,			Rs,				None,			491,		,			"Picea rubens, Tsuga canadensis"
9,			Rs,				None,			491,		,			"Picea rubens, Tsuga canadensis"
13,			Rs,				None,			491,		,			"Picea rubens, Tsuga canadensis"
14,			Rs,				None,			491,		,			"Picea rubens, Tsuga canadensis"
17,			Rs,				None,			491,		,			"Picea rubens, Tsuga canadensis"
18,			Rs,				None,			491,		,			"Picea rubens, Tsuga canadensis"
19,			Rs,				None,			491,		,			"Picea rubens, Tsuga canadensis"
20,			Rh,				Trenched,		491,		,			"Picea rubens, Tsuga canadensis"
21,			Rh,				Trenched,		491,		,			"Picea rubens, Tsuga canadensis"
22,			Rh,				Trenched,		491,		,			"Picea rubens, Tsuga canadensis"
23,			Rs,				None,			491,		,			"Picea rubens, Tsuga canadensis"
