# PORTS.txt
#
# This comma-separated data file provides information about multiplexer ports
# and what conditions they represent. Entries below include: 
#
# 	CSR_PORT: CSR_PORT number, numeric; "0" means all ports
# 	CSR_TREATMENT: "None" or experimental manipulation
#	CSR_AREA: optional chamber area, cm2
#	CSR_DEPTH: optional collar insertion depth, cm
# 	CSR_SPECIES: optional field describing species measured
#	CSR_SENSOR_DEPTHS: optional sensor depths for gradient method
#
CSR_PORT,	CSR_MSMT_VAR,	CSR_TREATMENT,	CSR_AREA,	CSR_DEPTH,	CSR_SPECIES
1,			Rh,				Trench,			0.81,		5,			Castanopsis cuspidata and Machilus thunbergii	
2,			Rs,				None,			0.81,		5,			Castanopsis cuspidata and Machilus thunbergii	
3,			Rh,				Trench and warm,0.81,		5,			Castanopsis cuspidata and Machilus thunbergii	
4,			Rh,				Trench,			0.81,		5,			Castanopsis cuspidata and Machilus thunbergii	
5,			Rh,				Trench and warm,0.81,		5,			Castanopsis cuspidata and Machilus thunbergii	
6,			Rs,				None,			0.81,		5,			Castanopsis cuspidata and Machilus thunbergii	
7,			Rs,				None,			0.81,		5,			Castanopsis cuspidata and Machilus thunbergii	
8,			Rh,				Trench and warm,0.81,		5,			Castanopsis cuspidata and Machilus thunbergii	
9,			Rh,				Trench,			0.81,		5,			Castanopsis cuspidata and Machilus thunbergii	
10,			Rh,				Trench,			0.81,		5,			Castanopsis cuspidata and Machilus thunbergii	
11,			Rh,				Trench and warm,0.81,		5,			Castanopsis cuspidata and Machilus thunbergii	
12,			Rs,				None,			0.81,		5,			Castanopsis cuspidata and Machilus thunbergii	
13,			Rh,				Trench,			0.81,		5,			Castanopsis cuspidata and Machilus thunbergii	
14,			Rs,				None,			0.81,		5,			Castanopsis cuspidata and Machilus thunbergii	
15,			Rh,				Trench and warm,0.81,		5,			Castanopsis cuspidata and Machilus thunbergii
