CSR_TIMESTAMP_BEGIN,CSR_TIMESTAMP_END,CSR_PAR,CSR_STATISTIC
2006-10-22 00:15:41,2006-10-22 00:25:41,5.4630774,mean
2006-10-22 00:27:41,2006-10-22 00:37:41,4.916268,mean
2006-10-22 00:39:41,2006-10-22 00:49:41,6.0098868,mean
2006-10-22 01:03:41,2006-10-22 01:13:41,3.8243214,mean
2006-10-22 01:15:41,2006-10-22 01:25:41,3.277512,mean
2006-10-22 01:27:41,2006-10-22 01:37:41,2.7323748,mean
2006-10-22 01:51:41,2006-10-22 02:01:41,0,mean
2006-10-22 02:03:41,2006-10-22 02:13:41,0.5468094,mean
2006-10-22 02:15:41,2006-10-22 02:25:41,-2.1855654,mean
2006-10-22 02:27:41,2006-10-22 02:37:41,0,mean
2006-10-22 02:39:41,2006-10-22 02:49:41,-0.5468094,mean
2006-10-22 02:51:41,2006-10-22 03:01:41,-1.0919466,mean
2006-10-22 03:03:41,2006-10-22 03:13:41,0,mean
2006-10-22 03:27:41,2006-10-22 03:37:41,0.5468094,mean
2006-10-22 03:39:41,2006-10-22 03:49:41,-1.0919466,mean
2006-10-22 03:51:41,2006-10-22 04:01:41,1.638756,mean
2006-10-22 04:15:41,2006-10-22 04:25:41,-1.0919466,mean
2006-10-22 04:27:41,2006-10-22 04:37:41,0,mean
2006-10-22 04:39:41,2006-10-22 04:49:41,1.0919466,mean
2006-10-22 05:03:41,2006-10-22 05:13:41,2.1855654,mean
2006-10-22 05:15:41,2006-10-22 05:25:41,-1.0919466,mean
2006-10-22 05:27:41,2006-10-22 05:37:41,-0.5468094,mean
2006-10-22 05:51:41,2006-10-22 06:01:41,-0.5468094,mean
2006-10-22 06:03:41,2006-10-22 06:13:41,1.0919466,mean
2006-10-22 06:15:41,2006-10-22 06:25:41,0.5468094,mean
2006-10-22 06:39:41,2006-10-22 06:49:41,0,mean
2006-10-22 06:51:41,2006-10-22 07:01:41,0,mean
2006-10-22 07:03:41,2006-10-22 07:13:41,0.5468094,mean
2006-10-22 07:15:41,2006-10-22 07:25:41,1.0919466,mean
2006-10-22 07:27:41,2006-10-22 07:37:41,2.7307026,mean
2006-10-22 07:39:41,2006-10-22 07:49:41,-3.277512,mean
2006-10-22 07:51:41,2006-10-22 08:01:41,0.5468094,mean
2006-10-22 08:15:41,2006-10-22 08:25:41,0.5468094,mean
2006-10-22 08:27:41,2006-10-22 08:37:41,-0.5468094,mean
2006-10-22 08:39:41,2006-10-22 08:49:41,1.0919466,mean
2006-10-22 08:51:41,2006-10-22 09:01:41,1.638756,mean
2006-10-22 09:03:41,2006-10-22 09:13:41,0.5468094,mean
2006-10-22 09:15:41,2006-10-22 09:25:41,1.638756,mean
2006-10-22 09:27:41,2006-10-22 09:37:41,-1.0919466,mean
2006-10-22 09:51:41,2006-10-22 10:01:41,0.5468094,mean
2006-10-22 10:03:41,2006-10-22 10:13:41,-0.5468094,mean
2006-10-22 10:15:41,2006-10-22 10:25:41,-0.5468094,mean
2006-10-22 10:27:41,2006-10-22 10:37:41,-0.5468094,mean
2006-10-22 10:39:41,2006-10-22 10:49:41,-0.5468094,mean
2006-10-22 10:51:41,2006-10-22 11:01:41,0.5468094,mean
2006-10-22 11:03:41,2006-10-22 11:13:41,-1.0919466,mean
2006-10-22 11:27:41,2006-10-22 11:37:41,0,mean
