# COLUMNS.txt
#
# This comma-separated data file maps columns from this dataset to
# standardized column names in the main database. Entries below include:
# 	Database: name of the standardized database column
#	Dataset: name of the column in this dataset
#	Computation: optional R-parseable computation to change units, etc.
#	Notes: optional; generally to explain the computation
#
Database,				Dataset,			Computation,				Notes
CSR_CO2_AMB,			Ambient CO2 (ppm)
CSR_FLUX,				Flux (mg C m-2 h-1),"`Flux (mg C m-2 h-1)` / 1000 * 1e6 / 12 / 60 / 60"
CSR_PAR,				PAR (umol m-2 s-1)
CSR_PORT,				ChamberNumber
CSR_RH,					Air RH (%)
CSR_SM20,				soil 20cm VWC (m3 m-3)
CSR_SM35,				soil 35cm VWC (m3 m-3)
CSR_TAIR,				Air T (deg C)
CSR_T0,					soil 0cm T (deg C)
CSR_T2,					soil 2cm T (deg C)
CSR_T20,				soil 20cm T (deg C)
CSR_T35,				soil 35cm T (deg C)
CSR_TCHAMBER,			Chamber T (deg C)
CSR_TIMESTAMP_BEGIN,	Year,				"paste(Year, fractional_doy(Year, DOY.FOD))"
CSR_WIND,				WindSpeed (m s-1)
