CSR_TIMESTAMP_BEGIN,CSR_TIMESTAMP_END,CSR_PAR,CSR_STATISTIC
2008-06-13 18:05:19 ,2008-06-13 18:15:19 ,1800,mean
2008-06-13 18:20:19 ,2008-06-13 18:30:19 ,1856,mean
2008-06-13 18:35:19 ,2008-06-13 18:45:19 ,1904,mean
2008-06-13 18:50:19 ,2008-06-13 19:00:19 ,1943,mean
2008-06-13 19:05:19 ,2008-06-13 19:15:19 ,1976,mean
2008-06-13 19:35:19 ,2008-06-13 19:45:19 ,2028,mean
2008-06-13 19:50:19 ,2008-06-13 20:00:19 ,2037,mean
2008-06-13 20:05:19 ,2008-06-13 20:15:19 ,2039,mean
2008-06-13 20:20:19 ,2008-06-13 20:30:19 ,2036,mean
2008-06-13 20:35:19 ,2008-06-13 20:45:19 ,2029,mean
2008-06-13 20:50:19 ,2008-06-13 21:00:19 ,2018,mean
2008-06-13 21:05:19 ,2008-06-13 21:15:19 ,1991,mean
2008-06-13 21:20:19 ,2008-06-13 21:30:19 ,1969,mean
2008-06-13 21:35:19 ,2008-06-13 21:45:19 ,1940,mean
2008-06-13 21:50:19 ,2008-06-13 22:00:19 ,1899,mean
2008-06-13 22:05:19 ,2008-06-13 22:15:19 ,1836,mean
2008-06-13 22:20:19 ,2008-06-13 22:30:19 ,1774,mean
2008-06-13 22:35:19 ,2008-06-13 22:45:19 ,1715,mean
2008-06-13 22:50:19 ,2008-06-13 23:00:19 ,1655,mean
2008-06-13 23:05:19 ,2008-06-13 23:15:19 ,1580,mean
2008-06-13 23:20:19 ,2008-06-13 23:30:19 ,1491,mean
2008-06-13 23:35:19 ,2008-06-13 23:45:19 ,1404,mean
2008-06-13 23:50:19 ,2008-06-14 00:00:19 ,1327,mean
2008-06-14 00:05:19 ,2008-06-14 00:15:19 ,1220,mean
2008-06-14 00:20:19 ,2008-06-14 00:30:19 ,1129,mean
2008-06-14 00:35:19 ,2008-06-14 00:45:19 ,1035,mean
2008-06-14 00:50:19 ,2008-06-14 01:00:19 ,941,mean
2008-06-14 01:05:19 ,2008-06-14 01:15:19 ,832,mean
2008-06-14 01:20:19 ,2008-06-14 01:30:19 ,722.2,mean
2008-06-14 01:35:19 ,2008-06-14 01:45:19 ,618.2,mean
2008-06-14 01:50:19 ,2008-06-14 02:00:19 ,504,mean
2008-06-14 02:05:19 ,2008-06-14 02:15:19 ,398.2,mean
2008-06-14 02:20:19 ,2008-06-14 02:30:19 ,299.2,mean
2008-06-14 02:35:19 ,2008-06-14 02:45:19 ,194.3,mean
2008-06-14 02:50:19 ,2008-06-14 03:00:19 ,107.4,mean
2008-06-14 03:05:19 ,2008-06-14 03:15:19 ,50.83,mean
2008-06-14 03:20:19 ,2008-06-14 03:30:19 ,22.11,mean
2008-06-14 03:35:19 ,2008-06-14 03:45:19 ,9.25,mean
2008-06-14 03:50:19 ,2008-06-14 04:00:19 ,7.461,mean
2008-06-14 04:05:19 ,2008-06-14 04:15:19 ,7.665,mean
2008-06-14 04:20:19 ,2008-06-14 04:30:19 ,8.19,mean
2008-06-14 04:35:19 ,2008-06-14 04:45:19 ,10.25,mean
2008-06-14 04:50:19 ,2008-06-14 05:00:19 ,11.46,mean
2008-06-14 05:05:19 ,2008-06-14 05:15:19 ,10.81,mean
2008-06-14 05:20:19 ,2008-06-14 05:30:19 ,9.26,mean
2008-06-14 05:35:19 ,2008-06-14 05:45:19 ,10.13,mean
2008-06-14 05:50:19 ,2008-06-14 06:00:19 ,10.59,mean
2008-06-14 06:05:19 ,2008-06-14 06:15:19 ,9.93,mean
2008-06-14 06:20:19 ,2008-06-14 06:30:19 ,10.76,mean
2008-06-14 06:35:19 ,2008-06-14 06:45:19 ,11.42,mean
2008-06-14 06:50:19 ,2008-06-14 07:00:19 ,11.44,mean
2008-06-14 07:05:19 ,2008-06-14 07:15:19 ,8.23,mean
2008-06-14 07:20:19 ,2008-06-14 07:30:19 ,7.831,mean
2008-06-14 07:35:19 ,2008-06-14 07:45:19 ,10.72,mean
2008-06-14 07:50:19 ,2008-06-14 08:00:19 ,15.66,mean
2008-06-14 08:05:19 ,2008-06-14 08:15:19 ,13.34,mean
2008-06-14 08:20:19 ,2008-06-14 08:30:19 ,12.92,mean
2008-06-14 08:35:19 ,2008-06-14 08:45:19 ,13.7,mean
2008-06-14 08:50:19 ,2008-06-14 09:00:19 ,16.79,mean
2008-06-14 09:05:19 ,2008-06-14 09:15:19 ,11.67,mean
2008-06-14 09:20:19 ,2008-06-14 09:30:19 ,14.33,mean
2008-06-14 09:35:19 ,2008-06-14 09:45:19 ,15.78,mean
2008-06-14 09:50:19 ,2008-06-14 10:00:19 ,13.74,mean
2008-06-14 10:05:19 ,2008-06-14 10:15:19 ,15.3,mean
2008-06-14 10:20:19 ,2008-06-14 10:30:19 ,15.14,mean
2008-06-14 10:35:19 ,2008-06-14 10:45:19 ,14.47,mean
2008-06-14 10:50:19 ,2008-06-14 11:00:19 ,14.07,mean
2008-06-14 11:05:19 ,2008-06-14 11:15:19 ,16.73,mean
2008-06-14 11:20:19 ,2008-06-14 11:30:19 ,16.43,mean
2008-06-14 11:35:19 ,2008-06-14 11:45:19 ,12.6,mean
2008-06-14 11:50:19 ,2008-06-14 12:00:19 ,9.83,mean
2008-06-14 12:05:19 ,2008-06-14 12:15:19 ,6.681,mean
2008-06-14 12:20:19 ,2008-06-14 12:30:19 ,5.833,mean
2008-06-14 12:35:19 ,2008-06-14 12:45:19 ,5.692,mean
2008-06-14 12:50:19 ,2008-06-14 13:00:19 ,8.46,mean
2008-06-14 13:05:19 ,2008-06-14 13:15:19 ,16.63,mean
2008-06-14 13:20:19 ,2008-06-14 13:30:19 ,34.74,mean
2008-06-14 13:35:19 ,2008-06-14 13:45:19 ,58.77,mean
2008-06-14 13:50:19 ,2008-06-14 14:00:19 ,93.6,mean
2008-06-14 14:05:19 ,2008-06-14 14:15:19 ,142.7,mean
2008-06-14 14:20:19 ,2008-06-14 14:30:19 ,186.7,mean
2008-06-14 14:35:19 ,2008-06-14 14:45:19 ,251.3,mean
2008-06-14 14:50:19 ,2008-06-14 15:00:19 ,307.3,mean
2008-06-14 15:05:19 ,2008-06-14 15:15:19 ,363.4,mean
2008-06-14 15:20:19 ,2008-06-14 15:30:19 ,415.2,mean
2008-06-14 15:35:19 ,2008-06-14 15:45:19 ,503.7,mean
2008-06-14 15:50:19 ,2008-06-14 16:00:19 ,605.6,mean
2008-06-14 16:05:19 ,2008-06-14 16:15:19 ,628.8,mean
2008-06-14 16:20:19 ,2008-06-14 16:30:19 ,647.8,mean
2008-06-14 16:35:19 ,2008-06-14 16:45:19 ,731.8,mean
2008-06-14 16:50:19 ,2008-06-14 17:00:19 ,785.5,mean
2008-06-14 17:05:19 ,2008-06-14 17:15:19 ,868,mean
2008-06-14 17:20:19 ,2008-06-14 17:30:19 ,1084,mean
2008-06-14 17:35:19 ,2008-06-14 17:45:19 ,1202,mean
2008-06-14 17:50:19 ,2008-06-14 18:00:19 ,1287,mean
2008-06-14 18:05:19 ,2008-06-14 18:15:19 ,1343,mean
2008-06-14 18:35:19 ,2008-06-14 18:45:19 ,1860,mean
2008-06-14 18:50:19 ,2008-06-14 19:00:19 ,1946,mean
2008-06-14 19:05:19 ,2008-06-14 19:15:19 ,1989,mean
2008-06-14 19:20:19 ,2008-06-14 19:30:19 ,2016,mean
2008-06-14 19:35:19 ,2008-06-14 19:45:19 ,2032,mean
2008-06-14 19:50:19 ,2008-06-14 20:00:19 ,2041,mean
2008-06-14 20:05:19 ,2008-06-14 20:15:19 ,2044,mean
2008-06-14 20:20:19 ,2008-06-14 20:30:19 ,2047,mean
2008-06-14 20:35:19 ,2008-06-14 20:45:19 ,2045,mean
2008-06-14 20:50:19 ,2008-06-14 21:00:19 ,2038,mean
2008-06-14 21:05:19 ,2008-06-14 21:15:19 ,2014,mean
2008-06-14 21:20:19 ,2008-06-14 21:30:19 ,1985,mean
2008-06-14 21:35:19 ,2008-06-14 21:45:19 ,1954,mean
2008-06-14 21:50:19 ,2008-06-14 22:00:19 ,1915,mean
2008-06-14 22:05:19 ,2008-06-14 22:15:19 ,1868,mean
2008-06-14 22:20:19 ,2008-06-14 22:30:19 ,1812,mean
2008-06-14 22:35:19 ,2008-06-14 22:45:19 ,1748,mean
2008-06-14 22:50:19 ,2008-06-14 23:00:19 ,1680,mean
2008-06-14 23:05:19 ,2008-06-14 23:15:19 ,1605,mean
2008-06-14 23:20:19 ,2008-06-14 23:30:19 ,1527,mean
2008-06-14 23:35:19 ,2008-06-14 23:45:19 ,1441,mean
2008-06-14 23:50:19 ,2008-06-15 00:00:19 ,1354,mean
2008-06-15 00:05:19 ,2008-06-15 00:15:19 ,1260,mean
2008-06-15 00:20:19 ,2008-06-15 00:30:19 ,1161,mean
2008-06-15 00:35:19 ,2008-06-15 00:45:19 ,1059,mean
2008-06-15 00:50:19 ,2008-06-15 01:00:19 ,955,mean
2008-06-15 01:05:19 ,2008-06-15 01:15:19 ,850,mean
2008-06-15 01:20:19 ,2008-06-15 01:30:19 ,740.2,mean
2008-06-15 01:35:19 ,2008-06-15 01:45:19 ,632.8,mean
2008-06-15 01:50:19 ,2008-06-15 02:00:19 ,525.2,mean
2008-06-15 02:05:19 ,2008-06-15 02:15:19 ,419.6,mean
2008-06-15 02:20:19 ,2008-06-15 02:30:19 ,320.3,mean
2008-06-15 02:35:19 ,2008-06-15 02:45:19 ,226.2,mean
2008-06-15 02:50:19 ,2008-06-15 03:00:19 ,134.3,mean
