CSR_TIMESTAMP_BEGIN,CSR_TIMESTAMP_END,CSR_PAR,CSR_STATISTIC
2008-06-01 20:05:00 ,2008-06-01 20:15:00 ,1691,mean
2008-06-01 20:20:00 ,2008-06-01 20:30:00 ,1674,mean
2008-06-01 20:35:00 ,2008-06-01 20:45:00 ,1667,mean
2008-06-01 20:50:00 ,2008-06-01 21:00:00 ,1655,mean
2008-06-01 21:05:00 ,2008-06-01 21:15:00 ,1632,mean
2008-06-01 21:20:00 ,2008-06-01 21:30:00 ,1608,mean
2008-06-01 21:35:00 ,2008-06-01 21:45:00 ,1582,mean
2008-06-01 21:50:00 ,2008-06-01 22:00:00 ,1536,mean
2008-06-01 22:05:00 ,2008-06-01 22:15:00 ,1486,mean
2008-06-01 22:20:00 ,2008-06-01 22:30:00 ,1437,mean
2008-06-01 22:35:00 ,2008-06-01 22:45:00 ,1378,mean
2008-06-01 22:50:00 ,2008-06-01 23:00:00 ,1309,mean
2008-06-01 23:05:00 ,2008-06-01 23:15:00 ,1086,mean
2008-06-01 23:35:00 ,2008-06-01 23:45:00 ,1089,mean
2008-06-01 23:50:00 ,2008-06-02 00:00:00 ,906,mean
2008-06-02 00:20:00 ,2008-06-02 00:30:00 ,641.4,mean
2008-06-02 00:35:00 ,2008-06-02 00:45:00 ,602.4,mean
2008-06-02 00:50:00 ,2008-06-02 01:00:00 ,451.8,mean
2008-06-02 01:05:00 ,2008-06-02 01:15:00 ,331.1,mean
2008-06-02 01:35:00 ,2008-06-02 01:45:00 ,385.2,mean
2008-06-02 01:50:00 ,2008-06-02 02:00:00 ,296.7,mean
2008-06-02 02:05:00 ,2008-06-02 02:15:00 ,213.9,mean
2008-06-02 02:20:00 ,2008-06-02 02:30:00 ,133.4,mean
2008-06-02 02:35:00 ,2008-06-02 02:45:00 ,74.7,mean
2008-06-02 02:50:00 ,2008-06-02 03:00:00 ,41.4,mean
2008-06-02 03:05:00 ,2008-06-02 03:15:00 ,18.4,mean
2008-06-02 03:35:00 ,2008-06-02 03:45:00 ,0,mean
2008-06-02 03:50:00 ,2008-06-02 04:00:00 ,0,mean
2008-06-02 04:05:00 ,2008-06-02 04:15:00 ,2.3,mean
2008-06-02 04:20:00 ,2008-06-02 04:30:00 ,10.35,mean
2008-06-02 04:35:00 ,2008-06-02 04:45:00 ,11.5,mean
2008-06-02 04:50:00 ,2008-06-02 05:00:00 ,17.25,mean
2008-06-02 05:05:00 ,2008-06-02 05:15:00 ,17.26,mean
2008-06-02 05:35:00 ,2008-06-02 05:45:00 ,17.26,mean
2008-06-02 05:50:00 ,2008-06-02 06:00:00 ,17.26,mean
2008-06-02 06:20:00 ,2008-06-02 06:30:00 ,17.26,mean
2008-06-02 06:35:00 ,2008-06-02 06:45:00 ,17.26,mean
2008-06-02 06:50:00 ,2008-06-02 07:00:00 ,17.26,mean
2008-06-02 07:05:00 ,2008-06-02 07:15:00 ,17.26,mean
2008-06-02 07:35:00 ,2008-06-02 07:45:00 ,17.26,mean
2008-06-02 07:50:00 ,2008-06-02 08:00:00 ,17.26,mean
2008-06-02 08:20:00 ,2008-06-02 08:30:00 ,34.52,mean
2008-06-02 08:35:00 ,2008-06-02 08:45:00 ,34.52,mean
2008-06-02 08:50:00 ,2008-06-02 09:00:00 ,34.51,mean
2008-06-02 09:05:00 ,2008-06-02 09:15:00 ,34.51,mean
2008-06-02 09:35:00 ,2008-06-02 09:45:00 ,34.51,mean
2008-06-02 09:50:00 ,2008-06-02 10:00:00 ,34.51,mean
2008-06-02 10:20:00 ,2008-06-02 10:30:00 ,34.52,mean
2008-06-02 10:35:00 ,2008-06-02 10:45:00 ,34.52,mean
2008-06-02 10:50:00 ,2008-06-02 11:00:00 ,34.52,mean
2008-06-02 11:05:00 ,2008-06-02 11:15:00 ,34.52,mean
2008-06-02 11:35:00 ,2008-06-02 11:45:00 ,34.52,mean
2008-06-02 11:50:00 ,2008-06-02 12:00:00 ,34.52,mean
2008-06-02 12:20:00 ,2008-06-02 12:30:00 ,34.52,mean
2008-06-02 12:35:00 ,2008-06-02 12:45:00 ,34.52,mean
2008-06-02 12:50:00 ,2008-06-02 13:00:00 ,34.52,mean
2008-06-02 13:05:00 ,2008-06-02 13:15:00 ,48.32,mean
2008-06-02 13:35:00 ,2008-06-02 13:45:00 ,88.6,mean
2008-06-02 13:50:00 ,2008-06-02 14:00:00 ,120.8,mean
2008-06-02 14:20:00 ,2008-06-02 14:30:00 ,222.1,mean
2008-06-02 14:35:00 ,2008-06-02 14:45:00 ,298,mean
2008-06-02 14:50:00 ,2008-06-02 15:00:00 ,308.3,mean
2008-06-02 15:05:00 ,2008-06-02 15:15:00 ,605.1,mean
2008-06-02 15:20:00 ,2008-06-02 15:30:00 ,672.9,mean
2008-06-02 15:35:00 ,2008-06-02 15:45:00 ,766,mean
2008-06-02 15:50:00 ,2008-06-02 16:00:00 ,899,mean
2008-06-02 16:20:00 ,2008-06-02 16:30:00 ,663.6,mean
2008-06-02 16:35:00 ,2008-06-02 16:45:00 ,789,mean
2008-06-02 16:50:00 ,2008-06-02 17:00:00 ,765,mean
2008-06-02 17:05:00 ,2008-06-02 17:15:00 ,905,mean
2008-06-02 17:35:00 ,2008-06-02 17:45:00 ,1390,mean
2008-06-02 17:50:00 ,2008-06-02 18:00:00 ,1478,mean
2008-06-02 18:05:00 ,2008-06-02 18:15:00 ,1479,mean
2008-06-02 18:20:00 ,2008-06-02 18:30:00 ,1544,mean
2008-06-02 18:35:00 ,2008-06-02 18:45:00 ,1651,mean
2008-06-02 18:50:00 ,2008-06-02 19:00:00 ,1629,mean
2008-06-02 19:05:00 ,2008-06-02 19:15:00 ,1725,mean
2008-06-02 19:35:00 ,2008-06-02 19:45:00 ,1201,mean
2008-06-02 19:50:00 ,2008-06-02 20:00:00 ,1411,mean
2008-06-02 20:20:00 ,2008-06-02 20:30:00 ,1093,mean
2008-06-02 20:35:00 ,2008-06-02 20:45:00 ,1235,mean
2008-06-02 20:50:00 ,2008-06-02 21:00:00 ,1400,mean
2008-06-02 21:05:00 ,2008-06-02 21:15:00 ,897,mean
2008-06-02 21:35:00 ,2008-06-02 21:45:00 ,988,mean
2008-06-02 21:50:00 ,2008-06-02 22:00:00 ,1216,mean
2008-06-02 22:20:00 ,2008-06-02 22:30:00 ,962,mean
2008-06-02 22:35:00 ,2008-06-02 22:45:00 ,844,mean
2008-06-02 22:50:00 ,2008-06-02 23:00:00 ,829,mean
2008-06-02 23:05:00 ,2008-06-02 23:15:00 ,711,mean
2008-06-02 23:35:00 ,2008-06-02 23:45:00 ,517.5,mean
