CSR_TIMESTAMP_BEGIN,CSR_TIMESTAMP_END,CSR_AGE,CSR_ANPP,CSR_BD,CSR_BNPP,CSR_CLAY,CSR_LAI,CSR_LITTERFALL,CSR_MAT,CSR_MAP,CSR_NEE,CSR_NH4,CSR_NO3,CSR_NPP,CSR_PH,CSR_SAND,CSR_SILT,CSR_STC,CSR_STN,CSR_DATE,CSR_STATISTIC
2014-01-01 00:25:30,2014-01-01 00:30:00,,,,,,,,,,,,,,,,,,,,mean
2014-01-01 00:55:30,2014-01-01 01:00:00,,,,,,,,,,1.315748412,,,,,,,,,,mean
2014-01-01 01:25:30,2014-01-01 01:30:00,,,,,,,,,,4.538579023,,,,,,,,,,mean
2014-01-01 01:55:30,2014-01-01 02:00:00,,,,,,,,,,6.472146861,,,,,,,,,,mean
2014-01-01 02:25:30,2014-01-01 02:30:00,,,,,,,,,,6.14974265,,,,,,,,,,mean
2014-01-01 02:55:30,2014-01-01 03:00:00,,,,,,,,,,0.054554891,,,,,,,,,,mean
2014-01-01 03:25:30,2014-01-01 03:30:00,,,,,,,,,,6.457252674,,,,,,,,,,mean
2014-01-01 03:55:30,2014-01-01 04:00:00,,,,,,,,,,-0.449934888,,,,,,,,,,mean
2014-01-01 04:25:30,2014-01-01 04:30:00,,,,,,,,,,6.44738657,,,,,,,,,,mean
2014-01-01 04:55:30,2014-01-01 05:00:00,,,,,,,,,,4.754127581,,,,,,,,,,mean
2014-01-01 05:25:30,2014-01-01 05:30:00,,,,,,,,,,-4.584486429,,,,,,,,,,mean
2014-01-01 05:55:30,2014-01-01 06:00:00,,,,,,,,,,6.956711607,,,,,,,,,,mean
2014-01-01 06:25:30,2014-01-01 06:30:00,,,,,,,,,,-5.803768727,,,,,,,,,,mean
2014-01-01 06:55:30,2014-01-01 07:00:00,,,,,,,,,,10.53504558,,,,,,,,,,mean
2014-01-01 07:25:30,2014-01-01 07:30:00,,,,,,,,,,0.675512964,,,,,,,,,,mean
2014-01-01 07:55:30,2014-01-01 08:00:00,,,,,,,,,,-5.900769743,,,,,,,,,,mean
2014-01-01 08:25:30,2014-01-01 08:30:00,,,,,,,,,,-7.511126522,,,,,,,,,,mean
2014-01-01 08:55:30,2014-01-01 09:00:00,,,,,,,,,,-7.072705377,,,,,,,,,,mean
2014-01-01 09:25:30,2014-01-01 09:30:00,,,,,,,,,,-12.6175783,,,,,,,,,,mean
2014-01-01 09:55:30,2014-01-01 10:00:00,,,,,,,,,,-9.966522947,,,,,,,,,,mean
2014-01-01 10:25:30,2014-01-01 10:30:00,,,,,,,,,,-10.30966949,,,,,,,,,,mean
2014-01-01 10:55:30,2014-01-01 11:00:00,,,,,,,,,,-5.427412666,,,,,,,,,,mean
2014-01-01 11:25:30,2014-01-01 11:30:00,,,,,,,,,,-6.240275959,,,,,,,,,,mean
2014-01-01 11:55:30,2014-01-01 12:00:00,,,,,,,,,,-4.339179895,,,,,,,,,,mean
2014-01-01 12:25:30,2014-01-01 12:30:00,,,,,,,,,,-6.349953445,,,,,,,,,,mean
2014-01-01 12:55:30,2014-01-01 13:00:00,,,,,,,,,,-6.768464031,,,,,,,,,,mean
2014-01-01 13:25:30,2014-01-01 13:30:00,,,,,,,,,,-2.107337405,,,,,,,,,,mean
2014-01-01 13:55:30,2014-01-01 14:00:00,,,,,,,,,,-3.538741856,,,,,,,,,,mean
2014-01-01 14:25:30,2014-01-01 14:30:00,,,,,,,,,,-1.953463682,,,,,,,,,,mean
2014-01-01 14:55:30,2014-01-01 15:00:00,,,,,,,,,,1.708439197,,,,,,,,,,mean
2014-01-01 15:25:30,2014-01-01 15:30:00,,,,,,,,,,-0.833466886,,,,,,,,,,mean
2014-01-01 15:55:30,2014-01-01 16:00:00,,,,,,,,,,-1.254351368,,,,,,,,,,mean
2014-01-01 16:25:30,2014-01-01 16:30:00,,,,,,,,,,0.004268327,,,,,,,,,,mean
2014-01-01 16:55:30,2014-01-01 17:00:00,,,,,,,,,,1.535814117,,,,,,,,,,mean
2014-01-01 17:25:30,2014-01-01 17:30:00,,,,,,,,,,3.447447465,,,,,,,,,,mean
2014-01-01 17:55:30,2014-01-01 18:00:00,,,,,,,,,,2.669360758,,,,,,,,,,mean
2014-01-01 18:25:30,2014-01-01 18:30:00,,,,,,,,,,3.32615991,,,,,,,,,,mean
2014-01-01 18:55:30,2014-01-01 19:00:00,,,,,,,,,,3.037371003,,,,,,,,,,mean
2014-01-01 19:25:30,2014-01-01 19:30:00,,,,,,,,,,6.55067496,,,,,,,,,,mean
2014-01-01 19:55:30,2014-01-01 20:00:00,,,,,,,,,,2.727361943,,,,,,,,,,mean
2014-01-01 20:25:30,2014-01-01 20:30:00,,,,,,,,,,6.301865692,,,,,,,,,,mean
2014-01-01 20:55:30,2014-01-01 21:00:00,,,,,,,,,,-4.337959082,,,,,,,,,,mean
2014-01-01 21:25:30,2014-01-01 21:30:00,,,,,,,,,,9.007728231,,,,,,,,,,mean
2014-01-01 21:55:30,2014-01-01 22:00:00,,,,,,,,,,0.050465243,,,,,,,,,,mean
2014-01-01 22:25:30,2014-01-01 22:30:00,,,,,,,,,,3.028672957,,,,,,,,,,mean
2014-01-01 22:55:30,2014-01-01 23:00:00,,,,,,,,,,1.35514698,,,,,,,,,,mean
2014-01-01 23:25:30,2014-01-01 23:30:00,,,,,,,,,,7.016167503,,,,,,,,,,mean
2014-01-01 23:55:30,2014-01-02 00:00:00,,,,,,,,,,4.269625796,,,,,,,,,,mean
2014-01-02 00:25:30,2014-01-02 00:30:00,,,,,,,,,,,,,,,,,,,,mean
2014-01-02 00:55:30,2014-01-02 01:00:00,,,,,,,,,,20.26954794,,,,,,,,,,mean
2014-01-02 01:25:30,2014-01-02 01:30:00,,,,,,,,,,6.714584109,,,,,,,,,,mean
2014-01-02 01:55:30,2014-01-02 02:00:00,,,,,,,,,,-11.22071966,,,,,,,,,,mean
2014-01-02 02:25:30,2014-01-02 02:30:00,,,,,,,,,,1.106473845,,,,,,,,,,mean
2014-01-02 02:55:30,2014-01-02 03:00:00,,,,,,,,,,4.621368066,,,,,,,,,,mean
2014-01-02 03:25:30,2014-01-02 03:30:00,,,,,,,,,,0.145976142,,,,,,,,,,mean
2014-01-02 03:55:30,2014-01-02 04:00:00,,,,,,,,,,-0.187834497,,,,,,,,,,mean
2014-01-02 04:25:30,2014-01-02 04:30:00,,,,,,,,,,-4.855726838,,,,,,,,,,mean
2014-01-02 04:55:30,2014-01-02 05:00:00,,,,,,,,,,-153.2236153,,,,,,,,,,mean
2014-01-02 05:25:30,2014-01-02 05:30:00,,,,,,,,,,4.277045514,,,,,,,,,,mean
2014-01-02 05:55:30,2014-01-02 06:00:00,,,,,,,,,,-1.180927621,,,,,,,,,,mean
2014-01-02 06:25:30,2014-01-02 06:30:00,,,,,,,,,,1.937382887,,,,,,,,,,mean
2014-01-02 06:55:30,2014-01-02 07:00:00,,,,,,,,,,25.88027345,,,,,,,,,,mean
2014-01-02 07:25:30,2014-01-02 07:30:00,,,,,,,,,,-13.45543977,,,,,,,,,,mean
2014-01-02 07:55:30,2014-01-02 08:00:00,,,,,,,,,,-13.21554364,,,,,,,,,,mean
2014-01-02 08:55:30,2014-01-02 09:00:00,,,,,,,,,,-12.93839959,,,,,,,,,,mean
2014-01-02 09:25:30,2014-01-02 09:30:00,,,,,,,,,,-4.017273017,,,,,,,,,,mean
2014-01-02 09:55:30,2014-01-02 10:00:00,,,,,,,,,,-8.379603884,,,,,,,,,,mean
2014-01-02 10:25:30,2014-01-02 10:30:00,,,,,,,,,,-4.903741715,,,,,,,,,,mean
2014-01-02 10:55:30,2014-01-02 11:00:00,,,,,,,,,,-5.367845482,,,,,,,,,,mean
2014-01-02 11:25:30,2014-01-02 11:30:00,,,,,,,,,,-5.341631612,,,,,,,,,,mean
2014-01-02 11:55:30,2014-01-02 12:00:00,,,,,,,,,,1.729015362,,,,,,,,,,mean
2014-01-02 12:25:30,2014-01-02 12:30:00,,,,,,,,,,3.628055568,,,,,,,,,,mean
2014-01-02 12:55:30,2014-01-02 13:00:00,,,,,,,,,,5.495574756,,,,,,,,,,mean
2014-01-02 13:25:30,2014-01-02 13:30:00,,,,,,,,,,3.527271906,,,,,,,,,,mean
2014-01-02 13:55:30,2014-01-02 14:00:00,,,,,,,,,,3.043861202,,,,,,,,,,mean
2014-01-02 14:25:30,2014-01-02 14:30:00,,,,,,,,,,1.400884368,,,,,,,,,,mean
2014-01-02 14:55:30,2014-01-02 15:00:00,,,,,,,,,,1.922428967,,,,,,,,,,mean
2014-01-02 15:25:30,2014-01-02 15:30:00,,,,,,,,,,4.849229764,,,,,,,,,,mean
