# COLUMNS.txt
#
# This comma-separated data file maps columns from this dataset to
# standardized column names in the main database. Entries below include:
# 	Database: name of the standardized database column
#	Dataset: name of the column in this dataset
#	Computation: optional R-parseable computation to change units, etc.
#	Notes: optional; generally to explain the computation
#
Database,				Dataset,	Computation,				Notes
CSR_FLUX_CO2,  				flux,
CSR_LABEL,				label,
CSR_PAR_AMB,				PAR,
CSR_PORT,				port,
CSR_RH,					RH,
CSR_SM10,				SM10
CSR_T2,					Ts_2
CSR_T8,					Ts_8
CSR_T16,				Ts_16
CSR_TAIR_AMB,				Ta
CSR_TIMESTAMP_BEGIN,	DOY,		"paste(Year, fractional_doy(Year, DOY))"
