CSR_TIMESTAMP_BEGIN,CSR_TIMESTAMP_END,CSR_AGE,CSR_PAR,CSR_DATE,CSR_STATISTIC
,,95,,2014,mean
2017-04-07 22:00:00,2017-04-07 22:02:00,,311.6338189,,mean
2017-04-07 22:30:00,2017-04-07 22:32:00,,309.051351,,mean
2017-04-07 23:00:00,2017-04-07 23:02:00,,338.0944973,,mean
2017-04-07 23:30:00,2017-04-07 23:32:00,,393.9868183,,mean
2017-04-08 00:00:00,2017-04-08 00:02:00,,377.2976658,,mean
2017-04-08 00:30:00,2017-04-08 00:32:00,,467.8548338,,mean
2017-04-08 01:00:00,2017-04-08 01:02:00,,380.5278622,,mean
2017-04-08 01:30:00,2017-04-08 01:32:00,,335.7841644,,mean
2017-04-08 02:00:00,2017-04-08 02:02:00,,255.5904161,,mean
2017-04-08 02:30:00,2017-04-08 02:32:00,,203.1305863,,mean
2017-04-08 03:00:00,2017-04-08 03:02:00,,160.71796,,mean
2017-04-08 03:30:00,2017-04-08 03:32:00,,116.0012176,,mean
2017-04-08 04:00:00,2017-04-08 04:02:00,,62.47471226,,mean
2017-04-08 04:30:00,2017-04-08 04:32:00,,21.45196419,,mean
2017-04-08 05:00:00,2017-04-08 05:02:00,,4.296733474,,mean
2017-04-08 05:30:00,2017-04-08 05:32:00,,0,,mean
2017-04-08 06:00:00,2017-04-08 06:02:00,,0,,mean
2017-04-08 06:30:00,2017-04-08 06:32:00,,0,,mean
2017-04-08 07:00:00,2017-04-08 07:02:00,,0,,mean
2017-04-08 07:30:00,2017-04-08 07:32:00,,0,,mean
2017-04-08 08:00:00,2017-04-08 08:02:00,,0,,mean
2017-04-08 08:30:00,2017-04-08 08:32:00,,0,,mean
2017-04-08 09:00:00,2017-04-08 09:02:00,,0,,mean
2017-04-08 09:30:00,2017-04-08 09:32:00,,0,,mean
2017-04-08 10:00:00,2017-04-08 10:02:00,,0,,mean
2017-04-08 10:30:00,2017-04-08 10:32:00,,0,,mean
2017-04-08 11:00:00,2017-04-08 11:02:00,,0,,mean
2017-04-08 11:30:00,2017-04-08 11:32:00,,0,,mean
2017-04-08 12:00:00,2017-04-08 12:02:00,,0,,mean
2017-04-08 12:30:00,2017-04-08 12:32:00,,0,,mean
2017-04-08 13:00:00,2017-04-08 13:02:00,,0,,mean
2017-04-08 13:30:00,2017-04-08 13:32:00,,0,,mean
2017-04-08 14:00:00,2017-04-08 14:02:00,,0,,mean
2017-04-08 14:30:00,2017-04-08 14:32:00,,2.42117152,,mean
2017-04-08 15:00:00,2017-04-08 15:02:00,,12.89650438,,mean
2017-04-08 15:30:00,2017-04-08 15:32:00,,44.13379372,,mean
2017-04-08 16:00:00,2017-04-08 16:02:00,,111.9845978,,mean
2017-04-08 16:30:00,2017-04-08 16:32:00,,204.8171669,,mean
2017-04-08 17:00:00,2017-04-08 17:02:00,,238.3485479,,mean
2017-04-08 17:30:00,2017-04-08 17:32:00,,272.6126994,,mean
2017-04-08 18:00:00,2017-04-08 18:02:00,,352.6056308,,mean
2017-04-08 18:30:00,2017-04-08 18:32:00,,414.1712643,,mean
2017-04-08 19:00:00,2017-04-08 19:02:00,,550.1146973,,mean
2017-04-08 19:30:00,2017-04-08 19:32:00,,940.6336868,,mean
2017-04-08 20:00:00,2017-04-08 20:02:00,,929.2582062,,mean
2017-04-08 20:30:00,2017-04-08 20:32:00,,744.7966088,,mean
2017-04-08 21:00:00,2017-04-08 21:02:00,,632.8179533,,mean
2017-04-08 21:30:00,2017-04-08 21:32:00,,790.3560081,,mean
2017-04-08 22:00:00,2017-04-08 22:02:00,,871.6185904,,mean
2017-04-08 22:30:00,2017-04-08 22:32:00,,1144.410306,,mean
2017-04-08 23:00:00,2017-04-08 23:02:00,,1089.42776,,mean
2017-04-08 23:30:00,2017-04-08 23:32:00,,1035.301267,,mean
2017-04-09 00:00:00,2017-04-09 00:02:00,,969.6892669,,mean
2017-04-09 00:30:00,2017-04-09 00:32:00,,876.4679904,,mean
2017-04-09 01:00:00,2017-04-09 01:02:00,,784.4898551,,mean
2017-04-09 01:30:00,2017-04-09 01:32:00,,675.8298398,,mean
2017-04-09 02:00:00,2017-04-09 02:02:00,,573.25697,,mean
2017-04-09 02:30:00,2017-04-09 02:32:00,,454.6877191,,mean
2017-04-09 03:00:00,2017-04-09 03:02:00,,313.0132622,,mean
2017-04-09 03:30:00,2017-04-09 03:32:00,,206.882719,,mean
2017-04-09 04:00:00,2017-04-09 04:02:00,,118.5724483,,mean
2017-04-09 04:30:00,2017-04-09 04:32:00,,35.08037599,,mean
2017-04-09 05:00:00,2017-04-09 05:02:00,,7.049907576,,mean
2017-04-09 05:30:00,2017-04-09 05:32:00,,0,,mean
2017-04-09 06:00:00,2017-04-09 06:02:00,,0,,mean
2017-04-09 06:30:00,2017-04-09 06:32:00,,0,,mean
2017-04-09 07:00:00,2017-04-09 07:02:00,,0,,mean
2017-04-09 07:30:00,2017-04-09 07:32:00,,0,,mean
2017-04-09 08:00:00,2017-04-09 08:02:00,,0,,mean
2017-04-09 08:30:00,2017-04-09 08:32:00,,0,,mean
2017-04-09 09:00:00,2017-04-09 09:02:00,,0,,mean
2017-04-09 09:30:00,2017-04-09 09:32:00,,0,,mean
2017-04-09 10:00:00,2017-04-09 10:02:00,,0,,mean
2017-04-09 10:30:00,2017-04-09 10:32:00,,0,,mean
2017-04-09 11:00:00,2017-04-09 11:02:00,,0,,mean
2017-04-09 11:30:00,2017-04-09 11:32:00,,0,,mean
2017-04-09 12:00:00,2017-04-09 12:02:00,,0,,mean
2017-04-09 12:30:00,2017-04-09 12:32:00,,0,,mean
2017-04-09 13:00:00,2017-04-09 13:02:00,,0,,mean
2017-04-09 13:30:00,2017-04-09 13:32:00,,0,,mean
2017-04-09 14:30:00,2017-04-09 14:32:00,,11.10707083,,mean
2017-04-09 15:30:00,2017-04-09 15:32:00,,109.735073,,mean
2017-04-09 16:30:00,2017-04-09 16:32:00,,312.4565583,,mean
2017-04-09 17:00:00,2017-04-09 17:02:00,,423.4398095,,mean
2017-04-09 17:30:00,2017-04-09 17:32:00,,536.587942,,mean
2017-04-09 18:00:00,2017-04-09 18:02:00,,653.601331,,mean
2017-04-09 18:30:00,2017-04-09 18:32:00,,763.5558647,,mean
