# COLUMNS.txt
#
# This comma-separated data file maps columns from this dataset to
# standardized column names in the main database. Entries below include:
# 	Database: name of the standardized database column
#	Dataset: name of the column in this dataset
#	Computation: optional R-parseable computation to change units, etc.
#	Notes: optional; generally to explain the computation
#
Database,				Dataset,	Computation,				Notes
CSR_FLUX_CO2,  			Fco2,
CSR_FLUX_CH4,			Fch4,
CSR_SOIL_O2,			O2,
CSR_PAR,				PPFD_IN_F
CSR_PORT,				Port,
CSR_PRECIP,				P_RAIN
CSR_RH,					RH_1_1_1,
CSR_SM10,				VWC,
CSR_T5,					T5,
CSR_T10,				Tsoil1_10cm
CSR_T20,				Tsoil1_20cm,
CSR_T30,				Tsoil1_30cm,
CSR_T40,				Tsoil1_40cm,
CSR_TAIR_AMB,			TA_1_1_1
CSR_TIMESTAMP_BEGIN,	StartTime
