CSR_TIMESTAMP_BEGIN,CSR_TIMESTAMP_END,CSR_DATE,CSR_STATISTIC,CSR_PAR,CSR_WIND
2011-05-31 12:00:00,2011-05-31 12:30:00,,mean,1103.815,2.715848
2011-05-31 12:30:00,2011-05-31 13:00:00,,mean,730.07,2.346648
2011-05-31 13:00:00,2011-05-31 13:30:00,,mean,744.504,2.079034
2011-05-31 13:30:00,2011-05-31 14:00:00,,mean,572.9827,2.110761
2011-05-31 14:00:00,2011-05-31 14:30:00,,mean,304.1855,2.198412
2011-05-31 14:30:00,2011-05-31 15:00:00,,mean,466.8288,1.717739
2011-05-31 15:00:00,2011-05-31 15:30:00,,mean,526.1356,2.1482
2011-05-31 15:30:00,2011-05-31 16:00:00,,mean,465.5004,2.173689
2011-05-31 16:00:00,2011-05-31 16:30:00,,mean,921.2803,2.385793
2011-05-31 16:30:00,2011-05-31 17:00:00,,mean,699.199,2.398799
2011-05-31 17:00:00,2011-05-31 17:30:00,,mean,298.3332,2.506668
2011-05-31 17:30:00,2011-05-31 18:00:00,,mean,181.665,1.595225
2011-05-31 18:00:00,2011-05-31 18:30:00,,mean,141.1401,2.060788
2011-05-31 18:30:00,2011-05-31 19:00:00,,mean,42.5088,1.68875
2011-05-31 19:00:00,2011-05-31 19:30:00,,mean,12.19615,0.8511764
2011-05-31 19:30:00,2011-05-31 20:00:00,,mean,0.5232135,0.1905985
2011-05-31 20:00:00,2011-05-31 20:30:00,,mean,0.06497908,0.8401797
2011-05-31 20:30:00,2011-05-31 21:00:00,,mean,0.03332112,0.8586196
2011-05-31 21:00:00,2011-05-31 21:30:00,,mean,0.06761683,1.435655
2011-05-31 21:30:00,2011-05-31 22:00:00,,mean,-0.01382166,1.439801
2011-05-31 22:00:00,2011-05-31 22:30:00,,mean,-0.0574661,1.786681
2011-05-31 22:30:00,2011-05-31 23:00:00,,mean,0.01043797,1.257588
2011-05-31 23:00:00,2011-05-31 23:30:00,,mean,0.01181454,1.198585
2011-05-31 23:30:00,2011-06-01 00:00:00,,mean,-0.1294405,0.5794786
2011-06-01 00:00:00,2011-06-01 00:30:00,,mean,-0.1169397,0.02637172
2011-06-01 00:30:00,2011-06-01 01:00:00,,mean,-0.2552164,0.5408842
2011-06-01 01:00:00,2011-06-01 01:30:00,,mean,-0.1548502,1.057029
2011-06-01 01:30:00,2011-06-01 02:00:00,,mean,-0.06308747,1.253009
2011-06-01 02:00:00,2011-06-01 02:30:00,,mean,-0.07536063,1.099663
2011-06-01 02:30:00,2011-06-01 03:00:00,,mean,-0.03062574,1.354978
2011-06-01 03:00:00,2011-06-01 03:30:00,,mean,-0.008889505,0.9535136
2011-06-01 03:30:00,2011-06-01 04:00:00,,mean,0.01198666,0.3903744
2011-06-01 04:00:00,2011-06-01 04:30:00,,mean,-0.002007278,1.060493
2011-06-01 04:30:00,2011-06-01 05:00:00,,mean,5.29813,1.067159
2011-06-01 05:00:00,2011-06-01 05:30:00,,mean,44.11714,0.8676394
2011-06-01 05:30:00,2011-06-01 06:00:00,,mean,140.1665,0.7872405
2011-06-01 06:00:00,2011-06-01 06:30:00,,mean,281.6221,1.436492
2011-06-01 06:30:00,2011-06-01 07:00:00,,mean,436.7407,0.6721607
2011-06-01 07:00:00,2011-06-01 07:30:00,,mean,593.2309,0.3651096
2011-06-01 07:30:00,2011-06-01 08:00:00,,mean,759.6722,1.672404
2011-06-01 08:00:00,2011-06-01 08:30:00,,mean,897.4035,1.724651
2011-06-01 08:30:00,2011-06-01 09:00:00,,mean,956.6924,1.564731
2011-06-01 09:00:00,2011-06-01 09:30:00,,mean,1035.931,1.657578
2011-06-01 09:30:00,2011-06-01 10:00:00,,mean,909.9124,2.854499
2011-06-01 10:00:00,2011-06-01 10:30:00,,mean,692.9589,2.142428
2011-06-01 10:30:00,2011-06-01 11:00:00,,mean,604.4757,1.482634
2011-06-01 11:00:00,2011-06-01 11:30:00,,mean,592.403,1.869815
2011-06-01 11:30:00,2011-06-01 12:00:00,,mean,474.8916,1.986951
2011-06-01 12:00:00,2011-06-01 12:30:00,,mean,487.5445,1.07337
2011-06-01 12:30:00,2011-06-01 13:00:00,,mean,481.3465,0.4173056
2011-06-01 13:00:00,2011-06-01 13:30:00,,mean,183.9096,0.829288
2011-06-01 13:30:00,2011-06-01 14:00:00,,mean,154.6802,1.674979
2011-06-01 14:00:00,2011-06-01 14:30:00,,mean,155.0656,1.901023
2011-06-01 14:30:00,2011-06-01 15:00:00,,mean,135.0491,1.995305
2011-06-01 15:00:00,2011-06-01 15:30:00,,mean,144.0941,1.624968
2011-06-01 15:30:00,2011-06-01 16:00:00,,mean,319.6411,1.871345
2011-06-01 16:00:00,2011-06-01 16:30:00,,mean,294.4516,1.588122
2011-06-01 16:30:00,2011-06-01 17:00:00,,mean,114.6407,1.725302
2011-06-01 17:00:00,2011-06-01 17:30:00,,mean,110.1812,1.572159
2011-06-01 17:30:00,2011-06-01 18:00:00,,mean,127.6762,1.938234
2011-06-01 18:00:00,2011-06-01 18:30:00,,mean,78.12801,1.936742
2011-06-01 18:30:00,2011-06-01 19:00:00,,mean,27.82236,1.866227
2011-06-01 19:00:00,2011-06-01 19:30:00,,mean,5.077504,1.70266
2011-06-01 19:30:00,2011-06-01 20:00:00,,mean,0.8920408,1.374783
2011-06-01 20:00:00,2011-06-01 20:30:00,,mean,0.9676758,1.248658
2011-06-01 20:30:00,2011-06-01 21:00:00,,mean,1.047857,0.2999354
2011-06-01 21:00:00,2011-06-01 21:30:00,,mean,0.9583924,NaN
2011-06-01 21:30:00,2011-06-01 22:00:00,,mean,0.9594198,NaN
2011-06-01 22:00:00,2011-06-01 22:30:00,,mean,0.9356824,NaN
2011-06-01 22:30:00,2011-06-01 23:00:00,,mean,0.9447976,NaN
2011-06-01 23:00:00,2011-06-01 23:30:00,,mean,0.8954843,NaN
2011-06-01 23:30:00,2011-06-02 00:00:00,,mean,0.8466254,NaN
2011-06-02 00:00:00,2011-06-02 00:30:00,,mean,0.7391011,NaN
2011-06-02 00:30:00,2011-06-02 01:00:00,,mean,0.6601839,NaN
2011-06-02 01:00:00,2011-06-02 01:30:00,,mean,0.3494165,NaN
2011-06-02 01:30:00,2011-06-02 02:00:00,,mean,0.3607683,NaN
2011-06-02 02:00:00,2011-06-02 02:30:00,,mean,0.6030046,NaN
2011-06-02 02:30:00,2011-06-02 03:00:00,,mean,0.7625995,NaN
2011-06-02 03:00:00,2011-06-02 03:30:00,,mean,0.8093966,NaN
2011-06-02 03:30:00,2011-06-02 04:00:00,,mean,0.8456348,NaN
2011-06-02 04:00:00,2011-06-02 04:30:00,,mean,0.8809028,NaN
2011-06-02 04:30:00,2011-06-02 05:00:00,,mean,2.347131,NaN
2011-06-02 05:00:00,2011-06-02 05:30:00,,mean,7.345757,NaN
2011-06-02 05:30:00,2011-06-02 06:00:00,,mean,20.86381,NaN
