# PORTS.txt
#
# This comma-separated data file provides information about multiplexer ports
# and what conditions they represent. Entries below include: 
#
# 	CSR_PORT: CSR_PORT number,	 numeric; "0" means all ports [req]
#	CSR_MSMT_VAR: measurement variable: "	Rs",	 "Rh",	 or "NEE" [req]
# 	CSR_TREATMENT: "None" or experimental manipulation [req]
#	CSR_AREA: optional chamber area,	 cm2
#	CSR_VOLUME: optional volume of chamber,	 cm3
#	CSR_DEPTH: optional collar insertion depth,	 cm
#	CSR_OPAQUE: opaque chamber? Assumed TRUE unless appears below  [req]
#	CSR_PLANTS_REMOVED: plants removed? Assumed TRUE unless appears below [req] 
#	CSR_FAN: mixing fan in chamber? Optional
# 	CSR_SPECIES: optional field describing species measured
#	CSR_SENSOR_DEPTHS: optional sensor depths for gradient method
#
# This file is unusual - data below are generated on import, because of 
# super complicated structure all packed into these data
#
CSR_PORT,	CSR_MSMT_VAR,	CSR_TREATMENT,		CSR_FAN,		CSR_AREA,	CSR_VOLUME,	CSR_DEPTH,	CSR_SPECIES
"1111","Rs","Partial O horizon","TRUE",71.6,991,0.5,"Liriodendron tulipifera, Acer rubrum, Quercus spp., Carya spp., Rhododendron maximum"
"1112","Rs","None","TRUE",71.6,991,0.5,"Liriodendron tulipifera, Acer rubrum, Quercus spp., Carya spp., Rhododendron maximum"
"1121","Rs","Partial O horizon","TRUE",71.6,991,0.5,"Liriodendron tulipifera, Acer rubrum, Quercus spp., Carya spp., Rhododendron maximum"
"1122","Rs","None","TRUE",71.6,991,0.5,"Liriodendron tulipifera, Acer rubrum, Quercus spp., Carya spp., Rhododendron maximum"
"1131","Rs","Partial O horizon","TRUE",71.6,991,0.5,"Liriodendron tulipifera, Acer rubrum, Quercus spp., Carya spp., Rhododendron maximum"
"1132","Rs","None","TRUE",71.6,991,0.5,"Liriodendron tulipifera, Acer rubrum, Quercus spp., Carya spp., Rhododendron maximum"
"1141","Rs","Partial O horizon","TRUE",71.6,991,0.5,"Liriodendron tulipifera, Acer rubrum, Quercus spp., Carya spp., Rhododendron maximum"
"1142","Rs","None","TRUE",71.6,991,0.5,"Liriodendron tulipifera, Acer rubrum, Quercus spp., Carya spp., Rhododendron maximum"
"1151","Rs","Partial O horizon","TRUE",71.6,991,0.5,"Liriodendron tulipifera, Acer rubrum, Quercus spp., Carya spp., Rhododendron maximum"
"1152","Rs","None","TRUE",71.6,991,0.5,"Liriodendron tulipifera, Acer rubrum, Quercus spp., Carya spp., Rhododendron maximum"
"1211","Rs","Partial O horizon","TRUE",71.6,991,0.5,"Liriodendron tulipifera, Acer rubrum, Quercus spp., Carya spp., Rhododendron maximum"
"1212","Rs","None","TRUE",71.6,991,0.5,"Liriodendron tulipifera, Acer rubrum, Quercus spp., Carya spp., Rhododendron maximum"
"1221","Rs","Partial O horizon","TRUE",71.6,991,0.5,"Liriodendron tulipifera, Acer rubrum, Quercus spp., Carya spp., Rhododendron maximum"
"1222","Rs","None","TRUE",71.6,991,0.5,"Liriodendron tulipifera, Acer rubrum, Quercus spp., Carya spp., Rhododendron maximum"
"1231","Rs","Partial O horizon","TRUE",71.6,991,0.5,"Liriodendron tulipifera, Acer rubrum, Quercus spp., Carya spp., Rhododendron maximum"
"1232","Rs","None","TRUE",71.6,991,0.5,"Liriodendron tulipifera, Acer rubrum, Quercus spp., Carya spp., Rhododendron maximum"
"1241","Rs","Partial O horizon","TRUE",71.6,991,0.5,"Liriodendron tulipifera, Acer rubrum, Quercus spp., Carya spp., Rhododendron maximum"
"1242","Rs","None","TRUE",71.6,991,0.5,"Liriodendron tulipifera, Acer rubrum, Quercus spp., Carya spp., Rhododendron maximum"
"1251","Rs","Partial O horizon","TRUE",71.6,991,0.5,"Liriodendron tulipifera, Acer rubrum, Quercus spp., Carya spp., Rhododendron maximum"
"1252","Rs","None","TRUE",71.6,991,0.5,"Liriodendron tulipifera, Acer rubrum, Quercus spp., Carya spp., Rhododendron maximum"
"1311","Rs","Partial O horizon","TRUE",71.6,991,0.5,"Liriodendron tulipifera, Acer rubrum, Quercus spp., Carya spp., Rhododendron maximum"
"1312","Rs","None","TRUE",71.6,991,0.5,"Liriodendron tulipifera, Acer rubrum, Quercus spp., Carya spp., Rhododendron maximum"
"1321","Rs","Partial O horizon","TRUE",71.6,991,0.5,"Liriodendron tulipifera, Acer rubrum, Quercus spp., Carya spp., Rhododendron maximum"
"1322","Rs","None","TRUE",71.6,991,0.5,"Liriodendron tulipifera, Acer rubrum, Quercus spp., Carya spp., Rhododendron maximum"
"1331","Rs","Partial O horizon","TRUE",71.6,991,0.5,"Liriodendron tulipifera, Acer rubrum, Quercus spp., Carya spp., Rhododendron maximum"
"1332","Rs","None","TRUE",71.6,991,0.5,"Liriodendron tulipifera, Acer rubrum, Quercus spp., Carya spp., Rhododendron maximum"
